시설명,시도명,시군구명,소재지도로명주소,lat,lon
하상장애인복지관,서울특별시,강남구,서울특별시 강남구 개포로 613,37.49,127.08
강남장애인복지관,서울특별시,강남구,서울특별시 강남구 개포로 605,37.49,127.07
충현복지관,서울특별시,강남구,서울특별시 강남구 논현로98길 16,37.5,127.04
수서동주민센터,서울특별시,강남구,서울특별시 강남구 광평로 301-4,37.49,127.1
일원1동주민센터,서울특별시,강남구,서울특별시 강남구 양재대로55길 14,37.49,127.09
역삼1동주민센터,서울특별시,강남구,서울특별시 강남구 역삼로7길 16,37.5,127.03
역삼2동주민센터,서울특별시,강남구,서울특별시 강남구 도곡로43길 25,37.5,127.05
세곡동주민센터,서울특별시,강남구,서울특별시 강남구 밤고개로 286,37.47,127.11
대치2동주민센터,서울특별시,강남구,서울특별시 강남구 영동대로 65길 24,37.5,127.06
개포1동주민센터,서울특별시,강남구,서울특별시 강남구 개포로 303,37.48,127.05
개포2동주민센터,서울특별시,강남구,서울특별시 강남구 개포로 511,37.49,127.07
수서6단지관리사무소,서울특별시,강남구,서울특별시 강남구 광평로56길 11,37.49,127.11
역삼주간보호센터,서울특별시,강남구,서울특별시 강남구 테헤란로 8길 36,37.5,127.03
삼성2동주민센터,서울특별시,강남구,서울특별시 강남구 봉은사로 419,37.51,127.05
강남구청,서울특별시,강남구,서울특별시 강남구 학동로426,37.52,127.05
압구정동 주민센터,서울특별시,강남구,서울특별시 강남구 압구정로 201,37.53,127.03
청담동 주민센터,서울특별시,강남구,서울특별시 강남구 압구정로79길 26,37.53,127.05
수서역,서울특별시,강남구,서울특별시 강남구 광평로 지하270,37.49,127.1
선릉역,서울특별시,강남구,서울특별시 강남구 테헤란로 지하340,37.5,127.05
굿잡자립센터,서울특별시,강남구,서울특별시 강남구 테헤란로8길 36,37.5,127.03
논현노인 종합복지관,서울특별시,강남구,서울특별시 강남구 강남대로128길 59,37.51,127.03
강남노인종합복지관,서울특별시,강남구,서울특별시 강남구 삼성로628,37.52,127.05
수서명화종합사회복지관,서울특별시,강남구,서울특별시 강남구 광평로51길 49,37.49,127.1
강남세움복지관,서울특별시,강남구,서울특별시 강남구 광평로60길 22,37.49,127.11
강동구청,서울특별시,강동구,서울특별시 강동구 성내로25,37.53,127.12
강동구청역,서울특별시,강동구,서울특별시 강동구 올림픽로 지하550,37.53,127.12
중앙보훈병원역,서울특별시,강동구,서울특별시 강동구 동남로 지하625,37.53,127.15
둔촌역,서울특별시,강동구,서울특별시 강동구 양재대로 지하1369,37.53,127.14
강동구민회관,서울특별시,강동구,서울특별시 강동구 상암로168,37.55,127.14
강일동주민센터,서울특별시,강동구,서울특별시 강동구 아리수로93길 9-14,37.57,127.17
고덕2동주민센터,서울특별시,강동구,서울특별시 강동구 아리수로78길 43-12,37.56,127.16
강동성심병원,서울특별시,강동구,서울특별시 강동구 성안로150,37.54,127.14
강동장애인보호작업장,서울특별시,강동구,서울특별시 강동구 고덕로100-5,37.55,127.14
강동구립 암사도서관,서울특별시,강동구,서울특별시 강동구 고덕로20길 42,37.55,127.13
강동구청,서울특별시,강동구,서울특별시 강동구 성내로25,37.53,127.12
강동구청역,서울특별시,강동구,서울특별시 강동구 올림픽로 지하550,37.53,127.12
중앙보훈병원역,서울특별시,강동구,서울특별시 강동구 동남로 지하625,37.53,127.15
둔촌역,서울특별시,강동구,서울특별시 강동구 양재대로 지하1369,37.53,127.14
강동구민회관,서울특별시,강동구,서울특별시 강동구 상암로168,37.55,127.14
강일동주민센터,서울특별시,강동구,서울특별시 강동구 아리수로93길 9-14,37.57,127.17
고덕2동주민센터,서울특별시,강동구,서울특별시 강동구 아리수로78길 43-12,37.56,127.16
강동성심병원,서울특별시,강동구,서울특별시 강동구 성안로150,37.54,127.14
강동장애인보호작업장,서울특별시,강동구,서울특별시 강동구 고덕로100-5,37.55,127.14
강동구립 암사도서관,서울특별시,강동구,서울특별시 강동구 고덕로20길 42,37.55,127.13
강북구청,서울특별시,강북구,서울특별시 강북구 도봉로89길 13,37.64,127.03
국립재활원,서울특별시,강북구,서울특별시 강북구 삼각산로 58,37.64,127.01
오동근린공원,서울특별시,강북구,서울특별시 강북구 오현로31길 51,37.63,127.04
오동근린공원,서울특별시,강북구,서울특별시 강북구 덕릉로42길 49,37.63,127.03
강북장애인종합복지관,서울특별시,강북구,서울특별시 강북구 오현로 189,37.63,127.04
강북장애인종합복지관,서울특별시,강북구,서울특별시 강북구 오현로 189,37.63,127.04
강북구 보건소,서울특별시,강북구,서울특별시 강북구 한천로 897,37.63,127.04
번동2단지종합사회복지관,서울특별시,강북구,"서울특별시 강북구 한천로105길 24, 202동",37.63,127.04
번동3단지종합사회복지관,서울특별시,강북구,서울특별시 강북구 오현로 208,37.63,127.04
번동5단지종합사회복지관,서울특별시,강북구,서울특별시 강북구 한천로115길 20,37.63,127.03
강북구장애인단체총연합회,서울특별시,강북구,서울특별시 강북구 인수봉로 291,37.64,127.01
삼양동종합복지센터,서울특별시,강북구,서울특별시 강북구 삼양로 47길 9,37.62,127.02
시립 강북노인종합복지관,서울특별시,강북구,서울특별시 강북구 삼양로 92길 40,37.64,127.02
미아동복합청사,서울특별시,강북구,서울특별시 강북구 솔매로49길 14,37.63,127.03
수유역,서울특별시,강북구,서울특별시 강북구 도봉로338,37.64,127.03
미아사거리역,서울특별시,강북구,서울특별시 강북구 도봉로 50,37.61,127.03
강북경찰서,서울특별시,강북구,서울특별시 강북구 오패산로 406,37.64,127.03
수유제1동 주민센터,서울특별시,강북구,서울특별시 강북구 삼양로 299,37.63,127.02
강북문화예술회관,서울특별시,강북구,서울특별시 강북구 삼각산로 85,37.64,127.01
북서울꿈의숲(아트센터),서울특별시,강북구,서울특별시 강북구 월계로 173,37.62,127.04
가오리역,서울특별시,강북구,서울특별시 강북구 수유동 338-47,37.64,127.02
솔밭근린공원,서울특별시,강북구,서울특별시 강북구 삼양로 561,37.65,127.01
누리장애인자립생활센터,서울특별시,강서구,서울특별시 강서구 방화동로 126,37.57,126.81
강서뇌성마비복지관,서울특별시,강서구,서울특별시 강서구 방화대로45길 69,37.57,126.81
강서뇌성마비복지관,서울특별시,강서구,서울특별시 강서구 방화대로45길 69,37.57,126.81
기쁜우리체육센터,서울특별시,강서구,서울특별시 강서구 허준로 65 기쁜우리체육센터,37.57,126.85
샬롬의집,서울특별시,강서구,서울특별시 강서구 방화대로7가길 11,37.56,126.82
남은자장애인자립생활센터,서울특별시,강서구,서울특별시 강서구 공항대로 164,37.56,126.83
강서길라장애인자립생활센터,서울특별시,강서구,서울특별시 강서구 양천로 551-24,37.56,126.86
맑은장애인자립생활센터,서울특별시,강서구,서울특별시 강서구 강서로 466,37.57,126.84
기쁜우리복지관,서울특별시,강서구,서울특별시 강서구 허준로 65,37.57,126.85
방화역,서울특별시,강서구,서울특별시 강서구 금낭화로 132,37.58,126.81
개화산역,서울특별시,강서구,서울특별시 강서구 양천로 22,37.57,126.81
김포공항역,서울특별시,강서구,서울특별시 강서구 하늘길 77,37.57,126.8
마곡나루역,서울특별시,강서구,서울특별시 강서구 마곡중앙5로 2,37.57,126.83
양천향교역,서울특별시,강서구,서울특별시 강서구 양천로 341,37.57,126.84
가양역,서울특별시,강서구,서울특별시 강서구 양천로 485,37.56,126.85
가양역,서울특별시,강서구,서울특별시 강서구 양천로 485,37.56,126.85
공항동주민센터,서울특별시,강서구,서울특별시 강서구 송정로 45,37.56,126.81
발산1동주민센터,서울특별시,강서구,서울특별시 강서구 강서로47길 54,37.55,126.83
강서구청 별관 복지지원센터,서울특별시,강서구,서울특별시 강서구 화곡로 302,37.55,126.85
강서구보건소,서울특별시,강서구,서울특별시 강서구 공항대로 561,37.55,126.87
가양7종합사회복지관,서울특별시,강서구,서울특별시 강서구 허준로 209,37.56,126.86
등촌1종합사회복지관,서울특별시,강서구,서울특별시 강서구 강서로68길 36,37.57,126.84
등촌7종합사회복지관,서울특별시,강서구,서울특별시 강서구 공항대로43길 104,37.56,126.85
방화2종합사회복지관,서울특별시,강서구,서울특별시 강서구 방화대로48길 40,37.57,126.82
강서구립봉제산어르신복지센터,서울특별시,강서구,서울특별시 강서구 초록마을로15길 12,37.54,126.85
겸재정선미술관,서울특별시,강서구,서울특별시 강서구 양천로47길 36,37.57,126.84
등촌3동주민센터,서울특별시,강서구,서울특별시 강서구 화곡로63길 96,37.56,126.85
가양4종합사회복지관,서울특별시,강서구,서울특별시 강서구 양천로57길 37,37.57,126.85
가양5종합사회복지관,서울특별시,강서구,서울특별시 강서구 양천로 57길 36,37.56,126.85
등촌4종합사회복지관,서울특별시,강서구,서울특별시 강서구 공항대로39길 59,37.56,126.84
등촌9종합사회복지관,서울특별시,강서구,서울특별시 강서구 화곡로63가길 92,37.56,126.85
강서다솔장애인자립생활센터,서울특별시,강서구,"서울특별시 강서구 양천로57길 36, 가양5단지 A상가 (가양동)",37.56,126.85
강서구 장애인단체 총연합회,서울특별시,강서구,"서울특별시 강서구 공항대로247, C동(마곡동)",37.56,126.84
허니장애인자립생활센터,서울특별시,강서구,서울특별시 강서구 공항대로 228(마곡동),37.56,126.83
행복을파는장사꾼,서울특별시,강서구,서울특별시 강서구 까치산로 134(화곡동),37.55,126.85
꿈장애인자립생활센터,서울특별시,강서구,서울특별시 강서구 화곡로31다길 11(화곡동),37.54,126.84
관악구종합청사,서울특별시,관악구,서울특별시 관악구 봉천동 관악로 145 관악구청 1동,37.48,126.95
장애인종합복지관,서울특별시,관악구,서울특별시 관악구 봉천동 남부순환로 1914 관악구장애인종합복지관,37.48,126.96
관악산 무장애숲길,서울특별시,관악구,,37.46,126.95
관악구보건소,서울특별시,관악구,서울특별시 관악구 봉천동 관악로 145 관악보건소 2동,37.48,126.95
관악구민체육센터,서울특별시,관악구,서울특별시 관악구 봉천동 낙성대로3길 37 관악구민종합체육센터,37.47,126.96
보라매동 주민센터,서울특별시,관악구,서울특별시 관악구 봉천동 봉천로 279-8 보라매동 주민센터,37.49,126.93
은천동 주민센터,서울특별시,관악구,서울특별시 관악구 봉천동 봉천로33나길 30 은천동 복합청사,37.49,126.94
성현동 주민센터,서울특별시,관악구,서울특별시 관악구 봉천동 구암길 38 성현동 주민센터,37.49,126.95
중앙동주민센터,서울특별시,관악구,서울특별시 관악구 양녕로6다길 7,37.48,126.95
청림동주민센터,서울특별시,관악구,서울특별시 관악구 봉천동 관악로40길 39 청림동 주민센터,37.49,126.96
행운동주민센터,서울특별시,관악구,서울특별시 관악구 행운1길 43,37.48,126.96
청룡동 주민센터,서울특별시,관악구,서울특별시 관악구 쑥고개로 44,37.48,126.94
낙성대동 주민센터,서울특별시,관악구,서울특별시 관악구 낙성대로4가길 5,37.48,126.96
인헌동주민센터,서울특별시,관악구,서울특별시 관악구 남부순환로246가길 20,37.48,126.97
남현동주민센터,서울특별시,관악구,서울특별시 관악구 남현동 남현1가길 29 남현동복합청사,37.47,126.98
신림동주민센터,서울특별시,관악구,서울특별시 관악구 신림동 신림동길 14 신림동주민센터,37.49,126.93
조원동 주민센터,서울특별시,관악구,서울특별시 관악구 신림동 조원로12길 25 조원동주민센터,37.48,126.91
미성동 주민센터,서울특별시,관악구,서울특별시 관악구 신림동 난곡로 249 미성동 주민센터,37.48,126.92
난곡동 주민센터,서울특별시,관악구,서울특별시 관악구 난곡로30길 40,37.47,126.92
난향동주민센터,서울특별시,관악구,서울특별시 관악구 신림동 난곡로 67 난향동주민센터,37.46,126.92
서원동주민센터,서울특별시,관악구,서울특별시 관악구 신림로 282,37.48,126.93
서림동 주민센터,서울특별시,관악구,서울특별시 관악구 신림동 신림로29길 6 서림동주민센터,37.47,126.93
삼성동주민센터,서울특별시,관악구,서울특별시 관악구 신림동 호암로 589 삼성동주민센터,37.47,126.93
대학동 주민센터,서울특별시,관악구,서울특별시 관악구 신림로 111,37.47,126.94
신림종합사회복지관,서울특별시,관악구,서울특별시 관악구 난곡로110,37.46,126.92
보훈회관,서울특별시,관악구,서울특별시 관악구 신림동 남부순환로 1427 관악구 보훈회관,37.48,126.91
한울림장애인자립생활센터,서울특별시,관악구,"서울특별시 관악구 남부순환로 1692, 태광빌딩",37.48,126.94
서울대학교,서울특별시,관악구,서울특별시 관악구 신림동 관악로 1 삼성컨벤션센타,37.47,126.96
서울새롬학교,서울특별시,관악구,서울특별시 관악구 봉천동 보라매로 44 삼육외래센터 SRC서울센터(새롬학교),37.49,126.93
신원동주민센터,서울특별시,관악구,서울특별시 관악구 신원로3길 13,37.48,126.93
광진구청,서울특별시,광진구,서울특별시 광진구 자양로 117,37.54,127.08
광진장애인회관,서울특별시,광진구,서울특별시 광진구 자양로 209,37.55,127.09
광진장애인회관,서울특별시,광진구,서울특별시 광진구 자양로 209,37.55,127.09
한국뇌병변장애인인권협회,서울특별시,광진구,서울특별시 광진구 자양로 176,37.54,127.08
정립회관,서울특별시,광진구,서울특별시 광진구 워커힐로93,37.55,127.1
정립회관,서울특별시,광진구,서울특별시 광진구 워커힐로93,37.55,127.1
정립회관,서울특별시,광진구,서울특별시 광진구 워커힐로93,37.55,127.1
중곡보건지소,서울특별시,광진구,서울특별시 광진구 긴고랑로 110,37.56,127.09
건대입구역,서울특별시,광진구,서울특별시 광진구 아차산로 243,37.54,127.07
군자역,서울특별시,광진구,서울특별시 광진구 천호대로 550,37.56,127.08
구로구청,서울특별시,구로구,서울특별시 구로구 가마산로 245,37.5,126.89
구로구민체육센터,서울특별시,구로구,서울특별시 구로구 고척로45길 39,37.51,126.85
구로구시설관리공단,서울특별시,구로구,서울특별시 구로구 구로동로26길 54,37.49,126.89
