,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
1,8075,중형 승합,2022-05-07 오전 12:08:21,2022-05-07 오전 12:15:19,2022-05-07 오전 12:30:26,영등포구,당산제2동,동작구,신대방제1동,2022/05/07 0:08,2022/05/07 0:30,22,0,37.53,126.9,37.49,126.9
2,8231,중형승합,2022-05-07 오전 12:08:51,2022-05-07 오전 12:17:25,2022-05-07 오전 12:46:23,구로구,신도림동,관악구,남현동,2022/05/07 0:08,2022/05/07 0:46,38,0,37.5,126.88,37.47,126.97
3,8279,중형 승합,2022-05-07 오전 12:09:00,2022-05-07 오전 12:26:57,2022-05-07 오전 12:54:43,노원구,상계3.4동,노원구,하계1동,2022/05/07 0:09,2022/05/07 0:54,45,0,37.67,127.08,37.64,127.07
4,1560,중형 승합,2022-05-07 오전 12:13:00,2022-05-07 오전 12:14:01,2022-05-07 오전 12:14:25,중랑구,상봉제2동,강동구,천호제1동,2022/05/07 0:13,2022/05/07 0:14,1,0,37.59,127.08,37.54,127.13
5,7913,중형승합,2022-05-07 오전 12:18:00,2022-05-07 오전 1:15:54,2022-05-07 오전 1:33:16,중랑구,신내2동,동대문구,전농제3동,2022/05/07 0:18,2022/05/07 1:33,75,0,37.61,127.09,37.57,127.06
6,1554,중형 승합,2022-05-07 오전 12:22:24,2022-05-07 오전 12:38:59,2022-05-07 오전 1:04:06,용산구,원효로제1동,관악구,청림동,2022/05/07 0:22,2022/05/07 1:04,42,0,37.53,126.96,37.49,126.96
7,7652,중형승합,2022-05-07 오전 12:25:00,2022-05-07 오전 1:18:24,2022-05-07 오전 1:54:52,중구,광희동,광진구,구의제1동,2022/05/07 0:25,2022/05/07 1:54,89,0,37.56,127,37.54,127.08
8,1560,중형 승합,2022-05-07 오전 12:26:00,2022-05-07 오전 12:45:29,2022-05-07 오전 1:35:04,강남구,압구정동,성동구,왕십리도선동,2022/05/07 0:26,2022/05/07 1:35,69,0,37.52,127.03,37.57,127.03
10,8064,중형 승합,2022-05-07 오전 12:35:03,2022-05-07 오전 1:44:33,2022-05-07 오전 2:02:51,용산구,한강로동,중구,명동,2022/05/07 0:35,2022/05/07 2:02,87,0,37.53,126.97,37.56,126.98
11,8064,중형 승합,2022-05-07 오전 12:58:25,2022-05-07 오전 1:05:29,2022-05-07 오전 1:31:26,동작구,흑석동,동작구,신대방제2동,2022/05/07 0:58,2022/05/07 1:31,33,0,37.51,126.96,37.49,126.92
12,7857,중형승합,2022-05-07 오전 12:59:00,2022-05-07 오전 1:26:44,2022-05-07 오전 1:48:41,광진구,중곡제2동,양천구,목3동,2022/05/07 0:59,2022/05/07 1:48,49,0,37.56,127.08,37.54,126.86
