시설명,시군구명,시설주소,lat,lon
임마누엘보호작업시설,송파구,서울특별시 송파구 양산로10길 26,37.49,127.15
아름다운,중랑구,서울특별시 중랑구 망우로55길 32한국프라우드아파트 103호,37.60,127.09
강북구립장애인보호작업장,강북구,서울특별시 강북구 오현로 199-9 (번동),37.63,127.04
용산구립장애인보호작업장,용산구,서울특별시 용산구 한강대로 3311~2층,37.55,126.97
다니엘직업재활원,서초구,서울특별시 서초구 헌릉로468길 21-16,37.46,127.09
동천,노원구,서울특별시 노원구 노원로18길 41하계동,37.64,127.07
노원교육복지재단(다모인),노원구,서울특별시 노원구 노원로 311중계제1공단 301호,37.64,127.08
원광보호작업장,중랑구,서울특별시 중랑구 신내로 56마동,37.62,127.09
참좋은센터,중랑구,서울특별시 중랑구 봉화산로56길 99-15(신내동),37.60,127.10
신아보호작업장,송파구,서울특별시 송파구 양산로8길 17신아보호작업장,37.49,127.15
조은세상,중랑구,서울특별시 중랑구 동일로140길 31-21(2층3층),37.57,127.08
데일리스보호작업시설,동대문구,서울특별시 동대문구 천호대로83길 14장안동,37.57,127.07
번동코이노니아장애인보호작업시설,강북구,서울특별시 강북구 한천로115길 20-0501동 2층,37.63,127.04
삼성떡프린스,동작구,서울특별시 동작구 양녕로30길 19-4      ,37.50,126.95
소망제이앤피,강남구,서울특별시 강남구 언주로167길 351층,37.52,127.03
보담터,노원구,서울특별시 노원구 중계로 163-0보담터,37.65,127.08
라온클린패밀리,강동구,서울특별시 강동구 고덕로 295-45(고덕동),37.56,127.06
중랑구립직업재활센터,중랑구,서울특별시 중랑구 숙선옹주로9길 55(묵동),37.62,127.08
해맑음보호작업시설,노원구,서울특별시 노원구 동일로 1097(공릉동),37.63,127.07
가브리엘작업장,노원구,서울특별시 노원구 한글비석로24라길 94-13,37.67,127.07
더해봄(종로구립장애인근로사업장),종로구,서울특별시 종로구 대학로3길 141층 (효제동),37.57,127.00
북부장애인직업재활시설,노원구,서울특별시 노원구 덕릉로70가길 92 (상계동),37.64,127.06
대린직업훈련원,노원구,서울특별시 노원구 동일로248길 30상계동,37.68,127.06
동안제일복지센터,송파구,서울특별시 송파구 거마로 792층 (마천동),37.50,127.15
동안우리복지센터,강동구,서울특별시 강동구 풍성로 1462층 (성내동),37.53,127.15
바오로교실보호작업장,은평구,서울특별시 은평구 증산로5길 7 (증산동),37.58,126.91
열림일터,강서구,서울특별시 강서구 까치산로 136,37.55,126.85
아람마을,노원구,서울특별시 노원구 월계로 338-16,37.63,127.06
은평구립직업재활센터,은평구,서울특별시 은평구 녹번로1길 131층 (녹번동)(녹번동),37.60,126.93
파란마음복지센터,강동구,서울특별시 강동구 진황도로 100하이브 313호~316호,37.54,127.13
함께사는세상,관악구,서울특별시 관악구 국회단지길 671층,37.49,126.94
해피워크,성북구,서울특별시 성북구 오패산로 21-04층,37.60,127.04
아이티어빌리티센터,강동구,서울특별시 강동구 명일로 230삼보프리빌 301호,37.55,127.15
강동그린나래복지센터,강동구,서울특별시 강동구 고덕로 100-5(암사동),37.55,127.14
나자로의집보호작업장,관악구,서울특별시 관악구 남부순환로194길 811층,37.48,126.93
성모자애보호작업장,강남구,서울특별시 강남구 헌릉로757길 35,37.47,127.12
동작구립장애인보호작업장,동작구,서울특별시 동작구 등용로12길 57동작구립장애인보호작업장,37.51,126.93
성모보호작업장,성동구,서울특별시 성동구 금호산9가길 57-10,37.55,127.02
성동보호작업장,성동구,서울특별시 성동구 청계천로 506-0성동장애인종합복지관 1층,37.57,127.03
광진장애인보호작업장,광진구,서울특별시 광진구 동일로80길 20,37.57,127.08
정립장애인보호작업장,광진구,서울특별시 광진구 워커힐로 93정립회관 체육관 1층,37.55,127.10
사랑의일터,서초구,서울특별시 서초구 서초대로 351로뎀II빌딩 6층,37.50,127.03
구로구립장애인보호작업장,구로구,서울특별시 구로구 경인로 21 (온수동),37.49,126.82
서울남부보호작업장,동작구,서울특별시 동작구 여의대방로20길 33 (신대방동),37.49,126.92
번동보호작업장,강북구,서울특별시 강북구 한천로 115길 20501동(번동 주공),37.63,127.04
연화직업재활원,송파구,서울특별시 송파구 가락로 865층,37.51,127.12
비둘기직업적응훈련센터,종로구,서울특별시 종로구 동숭4길 28 (동숭동),37.58,127.00
(사)대한안마사협회부설안마수련원,서초구,서울특별시 서초구 서초중앙로22길 105  ,37.49,127.02
보호작업장 인강원,도봉구,서울특별시 도봉구 평화로15번길 9-25(도봉동),37.69,127.04
충현보호작업장,강남구,서울특별시 강남구 논현로98길 16,37.50,127.04
그라나다보호작업센터,강서구,서울특별시 강서구 허준로5길 37 (가양동),37.57,126.85
강서구휴먼희망일터,강서구,서울특별시 강서구 강서로 466우리벤처타운 102호 (등촌동),37.57,126.84
리드릭,영등포구,서울특별시 영등포구 양산로 96양산로 96 산경물산(당산동2가),37.52,126.89
마포구립장애인직업재활센터(수아밀),마포구,서울특별시 마포구 매봉산로 18(상암동 1640번지),37.57,126.89
똘레랑스,은평구,서울특별시 은평구 연서로21길 31-0,37.62,126.91
서울장애인종합복지관보호작업장,강동구,서울특별시 강동구 고덕로 201(고덕동),37.55,127.12
해나무일터,구로구,서울특별시 구로구 남부순환로 105라길25-10,37.48,126.89
도봉장애인보호작업시설,도봉구,서울특별시 도봉구 마들로 664-172층,37.67,127.05
마라보호작업장,송파구,서울특별시 송파구 송이로34길 43-1,37.48,127.13
성지보호작업장,강동구,서울특별시 강동구 동남로85길 15(고덕동),37.56,127.16
아이비장애인보호작업장,강동구,서울특별시 강동구 천중로 873층,37.54,127.15
은평보호작업장,은평구,서울특별시 은평구 갈현로11길 30,37.60,126.90
하은장애인보호작업장,양천구,서울특별시 양천구 목동동로8길 95층 (신정동),37.52,126.87
EM실천,금천구,서울특별시 금천구 서부샛길 648대륭테크노타운6차 1004호,37.48,126.87
효명장애인보호작업시설,송파구,서울특별시 송파구 올림픽로 269롯데캐슬프라자 810호811호812호,37.51,127.10
선한복지센터,강동구,서울특별시 강동구 양재대로91길 62(성내동 동아아파트상가4층),37.52,127.13
구립강서구직업재활센터,강서구,서울특별시 강서구 허준로 95-9외 1번지 (가양동),37.56,126.85
서울시립미래형장애인직업재활시설그린내,서대문구,서울특별시 서대문구 명지2길 14-0(홍은동),37.58,126.92
희망일터,광진구,서울특별시 광진구 천호대로 622 (능동),37.55,127.08
서울시립미래형장애인직업재활시설굿윌스토어,송파구,서울특별시 송파구 마천로 226지하1층~지상2층,37.50,127.14
빛가람장애인시설,은평구,서울특별시 은평구 대서문길 36지하 1층 (진관동),37.65,126.94
구립송파구장애인보호작업장,송파구,서울특별시 송파구 양산로 53층,37.49,127.14
보라매보호작업장,금천구,서울특별시 금천구 가산디지털2로 136승일벤처타워302,37.47,126.87
드림장애인보호작업장,양천구,서울특별시 양천구 지양로 7 (신월동),37.51,126.83
행복한나무,영등포구,서울특별시 영등포구 양산로 96 양산로 96 산경물산 A30호(당산동2가),37.52,126.89
갑을장애인직업휴먼센터,관악구,서울특별시 관악구 난우16길 13-7 (신림동),37.47,126.91
우리마포보호작업장,마포구,서울특별시 마포구 신촌로26길 10우리마포보호작업장,37.55,126.94
송파위더스,송파구,서울특별시 송파구 성내천로 333-4333-4 (마천동),37.49,127.15
효정,강북구,서울특별시 강북구 삼양로77길 38(수유동),37.63,127.01
다사랑(대한정신보건가족협회),강서구,서울특별시 강서구 개화동로7길 3-16,37.58,126.80
초록등대장애인보호작업장,강서구,서울특별시 강서구 송정로1길 19베이스빌딩 2층 (공항동),37.55,126.81
강서나누리센터,강서구,서울특별시 강서구 공항대로7가길 21-3,37.56,126.81
함재보호작업장,송파구,서울특별시 송파구 송파대로 412124층 (송파동),37.50,127.10
늘푸름보호작업장,구로구,서울특별시 구로구 부일로1나길38(온수동),37.49,126.81
희망일굼터,양천구,서울특별시 양천구 신정로267 (신정동 양천벤처타운 제804호 B205호)),37.51,126.85
중증장애인다수고용사업장굿윌스토어밀알도봉점,도봉구,서울특별시 도봉구 마들로 664-17,37.67,127.04
금천구립장애인보호작업장,금천구,서울특별시 금천구 한내로 69-15금천한내복지관내 (독산동 주공13단지아파트),37.45,126.88
동문엔터프라이즈,동대문구,서울특별시 동대문구 한천로 58-22층 3층 (장안동),37.56,127.06
강서구희망센터,강서구,서울특별시 강서구 화곡로31길 25지층(화곡동) 서울특별시 강서구 강서로 34길 36 (화곡동),37.54,126.84
빛나눔보호작업장,은평구,서울특별시 은평구 수색로 390-29 (수색동),37.59,126.88
밀알그린보호작업장,강남구,서울특별시 강남구 밤고개로1길 341층 101호 (수서동),37.49,127.10
공감보호작업장,성동구,서울특별시 성동구 아차산로144 B101호 B103호(성수동2가 우영테크노센터),37.54,127.06
행복플러스보호작업장,성북구,서울특별시 성북구 화랑로134 (하월곡동2-2),37.60,127.04
장애인내일키움직업교육센터,서대문구,서울특별시 서대문구 연희로33가길6-15 (연희동),37.57,126.93
라피드보호작업장,영등포구,서울특별시 영등포구 영신로40길16 2층 (영등포동6가),37.52,126.90
소망드림복지센터,강동구,서울특별시 강동구 양재대로116길 202층 (길동),37.54,127.14
행복을파는장사꾼,강서구,서울특별시 강서구 까치산로 134 (화곡동),37.55,126.85
꿈드래장애인일자리센터,동대문구,서울특별시 동대문구 장한로28가길 70 (장안동),37.57,127.07
마포푸르메직업재활센터,마포구,서울특별시 마포구 월드컵북로 494-0 (상암동)494-0(상암동) 49,37.58,126.88
래그랜느보호작업장,강남구,서울특별시 강남구 양재대로55길13 (일원동) 지하1층,37.49,127.09
행복 보호작업장,송파구,서울특별시 송파구 성내천로 271217 1층 (마천동),37.50,127.14
SG블루웰,금천구,서울특별시 금천구 두산로 70-0 (독산동)70 B동 4층 436호 (독산동 현대지식산업센터),37.47,126.89
